ID,Song Name,Artist,Cover Image URL,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
1mXVgsBdtIVeCLJnSnmtdV,Too Good At Goodbyes,Sam Smith,https://i.scdn.co/image/ab67616d0000b273005cd7d0ae87b081601f6cca,0.715,0.372,-8.237,0.0443,0.638,0.0,0.169,0.474,91.931
6zSpb8dQRaw0M1dK8PBwQz,Cold Heart - PNAU Remix,"Elton John, Dua Lipa, PNAU",https://i.scdn.co/image/ab67616d0000b2739f5cce8304c42d3a5463fd23,0.796,0.798,-6.312,0.0317,0.034,4.19e-05,0.0952,0.942,116.032
2whoe0pPKh4JRn6eWSIqTV,Stay With Me,Sam Smith,https://i.scdn.co/image/ab67616d0000b273c1c177e193b3ebf1a16e158f,0.414,0.419,-6.431,0.0388,0.55,0.000195,0.11,0.18,84.082
1rfofaqEpACxVEHIZBJe6W,Havana (feat. Young Thug),"Camila Cabello, Young Thug",https://i.scdn.co/image/ab67616d0000b2736eb0b9e73adcf04e4ed3eca4,0.765,0.523,-4.333,0.03,0.184,3.56e-05,0.132,0.394,104.988
5QO79kh1waicV47BqGRL3g,Save Your Tears,The Weeknd,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36,0.679,0.825,-5.487,0.0309,0.0212,1.21e-05,0.543,0.644,118.049
1qPbGZqppFwLwcBC1JQ6Vr,Wonderwall,Oasis,https://i.scdn.co/image/ab67616d0000b2732f2eeee9b405f4d00428d84c,0.41,0.854,-5.609,0.0366,0.00236,0.0,0.133,0.456,174.584
4CeeEOM32jQcH3eN9Q2dGj,Smells Like Teen Spirit,Nirvana,https://i.scdn.co/image/ab67616d0000b273fbc71c99f9c1296c56dd51b6,0.502,0.912,-4.556,0.0564,2.55e-05,0.000173,0.106,0.72,116.761
0DrDcqWpokMlhKYJSwoT4B,Don't Stop Me Now,Queen,https://i.scdn.co/image/ab67616d0000b273075ecd9bfd91eed22378226c,0.474,0.861,-5.984,0.26,0.0237,0.0158,0.664,0.6,156.333
2WfaOiMkCvy7F5fcp2zZ8L,Take on Me,a-ha,https://i.scdn.co/image/ab67616d0000b273e8dd4db47e7177c63b0b7d53,0.573,0.902,-7.638,0.054,0.018,0.00125,0.0928,0.876,84.412
3OHfY25tqY28d16oZczHc8,Kill Bill,SZA,https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1,0.644,0.728,-5.75,0.0351,0.0543,0.169,0.161,0.43,88.993
77NNZQSqzLNqh2A9JhLRkg,Don't Stop Believin',Journey,https://i.scdn.co/image/ab67616d0000b2730f6ce5c138493ac768d9afc8,0.491,0.802,-7.106,0.0392,0.25,0.0,0.387,0.472,119.25
4cktbXiXOapiLBMprHFErI,Memories,Maroon 5,https://i.scdn.co/image/ab67616d0000b27386a8ab515de4b7aef28cd631,0.775,0.327,-7.241,0.0557,0.841,0.0,0.0821,0.595,91.05
1zwMYTA5nlNjZxYrvBB2pV,Someone Like You,Adele,https://i.scdn.co/image/ab67616d0000b2732118bf9b198b05a95ded6300,0.556,0.319,-8.251,0.0281,0.893,0.0,0.0996,0.294,135.187
7snQQk1zcKl8gZ92AnueZW,Sweet Child O' Mine,Guns N' Roses,https://i.scdn.co/image/ab67616d0000b27321ebf49b3292c3f0f575f0f5,0.445,0.952,-5.321,0.0522,0.09,0.0843,0.112,0.624,125.304
3CCyVdprlcXui4ZwMw1hNS,I Took A Pill In Ibiza,Mike Posner,https://i.scdn.co/image/ab67616d0000b273a19be7aca4a1fcd6e8a42c62,0.637,0.318,-10.07,0.0716,0.622,1.58e-06,0.125,0.383,74.11
5Lsg8jlCoTyxRch9LvJo3E,Another One Bites The Dust,Queen,https://i.scdn.co/image/ab67616d0000b2735a7602f0e508660b2ba40f8c,0.923,0.388,-12.211,0.131,0.0883,0.134,0.151,0.783,109.817
0nbXyq5TXYPCO7pr3N8S4I,The Box,Roddy Ricch,https://i.scdn.co/image/ab67616d0000b273600adbc750285ea1a8da249f,0.896,0.586,-6.687,0.0559,0.104,0.0,0.79,0.642,116.971
47MhyGA0XUtF9lZJtny3Pd,Roses,SAINt JHN,https://i.scdn.co/image/ab67616d0000b2732d71f631f901f9324541ae86,0.782,0.5,-6.473,0.0611,0.342,1.88e-05,0.133,0.28,102.008
6Qyc6fS4DsZjB2mRW9DsQs,Iris,The Goo Goo Dolls,https://i.scdn.co/image/ab67616d0000b273eda9478c39a21e1cdc6609ca,0.315,0.715,-8.072,0.0362,0.00125,7.97e-06,0.0942,0.497,155.925
70LcF31zb1H0PyJoS1Sx1r,Creep,Radiohead,https://i.scdn.co/image/ab67616d0000b273df55e326ed144ab4f5cecf95,0.515,0.43,-9.935,0.0372,0.0097,0.000133,0.129,0.104,91.844
2s1sdSqGcKxpPr5lCl7jAV,Chandelier,Sia,https://i.scdn.co/image/ab67616d0000b273b55ed804149fffbb5e35ff34,0.399,0.787,-2.88,0.0499,0.0197,6.07e-05,0.0685,0.572,117.089
1jXfVzMk8cSbvAXMML4Y4f,I Like Me Better,Lauv,https://i.scdn.co/image/ab67616d0000b273c2f8018c984a8acb592bc7d8,0.753,0.505,-7.621,0.255,0.534,2.58e-06,0.104,0.419,91.972
